temp,hum,pres
24.76,72.86,896.22
24.75,72.36,895.9
24.73,72.57,895.91
24.29,71.52,895.75
24.42,74.41,895.58
24.26,73.96,895.55
24.03,72.81,895.87
24.26,73.12,896.24
24.27,73.34,896.84
24.07,75.18,897.51
24.47,73.95,897.82
24.44,71.68,897.47
24.74,70.04,897.28
24.72,71.71,897.03
24.95,70.92,896.14
25.47,70.13,895.07
25.46,66.74,894.09
25.52,69.09,893.39
25.4,68.8,893.35
25.1,70.75,893.67
25.16,74.59,894.36
25.15,74.67,895.3
25.05,76.28,896.12
25.15,73.2,896.48
24.76,75.58,896.85
24.54,80.3,896.73
24.41,78.96,896.14
24.52,78.49,895.86
24.52,79.49,895.68
24.41,77.63,895.35
24.1,79.07,895.61
24.08,77.81,896.2
23.9,79.68,896.97
24.28,81.32,897.59
24.08,80.05,897.62
24.24,79.93,897.21
24.44,76.95,896.62
24.12,80.1,896.09
24.87,74.09,895.09
25.46,67.72,893.89
25.81,68.67,892.81
25.78,69.45,892.03
25.8,68.6,891.95
25.7,67.21,892.1
25.33,72.95,892.9
25.27,71.14,893.75
25.13,73.88,894.55
25.18,73.25,894.88
24.89,75.75,895.58
24.88,76.49,895.49
24.18,73.74,895.71
24.5,71.37,895.16
24.25,70.5,894.9
24.25,74.19,894.64
24.06,69.66,894.61
24.17,73.78,894.89
23.92,72.91,895.42
24.26,72.92,895.52
24.95,72.89,895.72
25.13,64.56,895.47
25.61,65.88,894.81
25.86,66.09,894.04
25.94,66.86,893.05
26.95,63,892.1
26.83,60.5,891.04
26.91,58.89,890.59
26.85,60.6,890.36
26.37,60.65,890.62
26.04,67.86,891.5
25.74,65.02,892.52
25.44,67.33,893.14
25.35,69.08,893.77
25.55,70.11,893.73
25.17,67.79,893.87
25.37,69.99,893.6
24.89,71.4,893.59
25.2,73.3,893.16
25.03,70.69,893.22
24.16,76.89,894.6
24.48,78.17,894.8
24.39,82.08,895.48
24.07,80.16,895.67
24.24,80.42,896.25
24.36,74.79,896
24.81,76.3,895.33
25.21,68.72,894.29
25.45,68.13,893.18
